"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
1;823;823;"71,45";"1,95";"58,86";"41,14";"0,00";"98,05";"3,34";"10,75";"9,51";"34,80";"6,33";"33,78";"1,49";;;;;
2;574;574;"69,14";"1,92";"65,32";"34,68";"0,00";"98,08";"1,80";"12,13";"7,98";"33,34";"6,02";"37,17";"1,57";;;;;
3;894;894;"78,06";"1,20";"54,29";"45,71";"0,00";"98,80";"2,89";"13,74";"11,35";"26,66";"6,98";"36,94";"1,44";;;;;
4;957;957;"73,04";"1,95";"61,07";"38,93";"0,00";"98,05";"1,67";"15,06";"9,92";"30,45";"6,42";"35,01";"1,47";;;;;
5;960;960;"70,52";"2,20";"54,96";"36,26";"8,79";"97,80";"1,44";"15,68";"11,25";"34,06";"6,37";"29,52";"1,25";"0,42";;;;
6;1109;1109;"72,97";"1,67";"48,81";"40,34";"10,85";"98,33";"1,60";"15,87";"5,72";"45,48";"8,38";"20,32";"2,30";"0,35";;;;
7;1072;1072;"67,30";"2,05";"63,06";"36,94";"0,00";"97,95";"2,08";"13,04";"5,62";"50,75";"7,79";"17,40";"2,83";"0,48";;;;
8;883;883;"71,37";"2,35";"58,64";"32,08";"9,29";"97,65";"2,31";"15,07";"9,27";"27,76";"6,51";"37,73";"1,12";;;"0,22";;
9;454;454;"79,22";"0,91";"52,20";"47,80";"0,00";"99,09";"1,23";"11,89";"12,22";"26,82";"5,57";"41,07";"1,20";;;;;
10;610;610;"75,04";"2,08";"53,83";"35,90";"10,28";"97,92";"2,17";"13,73";"6,39";"46,60";"7,62";"21,69";"1,38";"0,43";;;;
11;863;863;"74,47";"2,18";"50,19";"40,75";"9,06";"97,82";"1,62";"14,50";"7,73";"41,46";"6,82";"25,89";"1,45";"0,52";;;;
12;474;474;"75,20";"1,54";"60,47";"39,53";"0,00";"98,46";"1,78";"14,97";"6,04";"42,86";"7,88";"24,24";"2,22";;;;;
13;895;895;"80,04";"1,19";"44,96";"41,88";"13,16";"98,81";"1,51";"16,86";"11,04";"30,68";"7,71";"30,73";"1,47";;;;;
14;667;667;"71,25";"1,65";"59,38";"40,62";"0,00";"98,35";"2,49";"11,58";"3,18";"53,73";"8,73";"16,10";"4,18";;;;;
15;679;679;"72,11";"1,56";"58,26";"41,74";"0,00";"98,44";"1,38";"18,64";"4,00";"48,67";"7,99";"17,02";"2,30";;;;;
16;757;757;"71,96";"1,97";"60,96";"39,04";"0,00";"98,03";"2,03";"17,07";"6,52";"44,11";"6,52";"22,40";"1,35";;;;;
17;638;638;"74,41";"1,70";"59,91";"40,09";"0,00";"98,30";"1,71";"13,98";"5,34";"48,68";"7,31";"20,96";"1,53";"0,50";;;;
18;988;988;"74,87";"2,16";"51,85";"37,93";"10,22";"97,84";"1,86";"15,51";"4,85";"48,62";"8,21";"18,71";"1,90";;"0,19";;"0,15";
19;1229;1229;"86,65";"0,75";"46,85";"53,15";"0,00";"99,25";"1,37";"13,25";"13,45";"20,14";"7,24";"43,23";"1,32";;;;;
20;738;738;"82,35";"1,07";"51,05";"48,95";"0,00";"98,93";"2,27";"15,06";"7,06";"31,74";"7,06";"35,23";"1,59";;;;;
21;1021;1021;"66,55";"2,17";"64,34";"35,66";"0,00";"97,83";"1,57";"12,74";"7,24";"31,26";"6,49";"33,59";"1,74";;;;;"5,37"
22;887;887;"67,92";"1,80";"61,93";"38,07";"0,00";"98,20";"2,07";"13,79";"4,47";"54,70";"8,62";"15,85";;"0,50";;;;
23;1041;1041;"71,42";"1,27";"55,69";"44,31";"0,00";"98,73";"1,53";"12,42";"4,87";"51,60";"9,48";"17,70";"2,40";;;;;
24;1066;1066;"70,30";"1,64";"50,29";"40,16";"9,55";"98,36";"1,16";"18,86";"4,84";"42,39";"9,79";"20,84";"1,64";"0,47";;;;
25;711;711;"75,76";"1,65";"54,47";"33,51";"12,01";"98,35";"1,44";"14,70";"9,41";"25,20";"6,23";"41,70";"1,32";;;;;
26;981;981;"74,86";"1,48";"53,80";"46,20";"0,00";"98,52";"1,62";"13,59";"8,33";"29,24";"7,21";"37,91";"2,10";;;;;
27;480;480;"76,82";"1,28";"53,98";"46,02";"0,00";"98,72";"1,73";"14,55";"7,77";"36,71";"7,84";"28,67";"2,46";;"0,28";;;
28;483;483;"74,24";"1,93";"53,46";"34,48";"12,07";"98,07";"2,09";"14,72";"9,41";"36,35";"6,56";"29,11";"1,74";;;;;
29;468;468;"71,47";"1,46";"55,35";"44,65";"0,00";"98,54";"1,90";"13,34";"9,21";"30,16";"6,95";"36,06";"2,38";;;;;
30;433;433;"72,73";"1,71";"51,13";"37,37";"11,50";"98,29";"2,27";"12,45";"6,84";"38,06";"8,00";"29,98";"2,40";;;;;
31;559;559;"75,81";"1,26";"52,41";"47,59";"0,00";"98,74";"1,80";"13,27";"8,46";"30,88";"6,70";"36,79";"2,10";;;;;
32;445;445;"75,60";"1,22";"57,74";"42,26";"0,00";"98,78";"1,45";"9,85";"21,60";"29,74";"5,69";"30,30";"1,37";;;;;
33;1202;1202;"71,09";"2,00";"52,67";"39,38";"7,94";"98,00";"2,88";"13,80";"6,83";"47,07";"6,55";"20,93";"1,38";"0,35";"0,20";;;
34;563;563;"67,64";"2,78";"61,37";"31,36";"7,26";"97,22";"1,44";"15,40";"8,11";"35,20";"6,54";"31,87";"1,12";;"0,33";;;
35;730;730;"68,11";"2,57";"57,53";"33,33";"9,14";"97,43";"1,98";"16,11";"8,09";"32,33";"6,93";"33,07";"1,48";;;;;
36;944;944;"73,72";"2,53";"58,11";"32,99";"8,90";"97,47";"2,39";"16,16";"8,52";"35,85";"6,98";"28,58";"1,52";;;;;
37;650;650;"73,26";"2,41";"58,73";"33,90";"7,37";"97,59";"2,35";"16,63";"9,48";"38,69";"6,97";"23,99";"1,38";"0,51";;;;
38;683;683;"73,13";"2,79";"61,31";"29,94";"8,75";"97,21";"1,91";"17,66";"7,84";"29,11";"6,87";"34,87";"1,74";;;;;
39;504;504;"83,25";"1,02";"55,66";"44,34";"0,00";"98,98";"1,59";"16,54";"12,31";"19,57";"5,90";"44,09";;;;;;
40;589;589;"69,48";"2,44";"66,38";"33,62";"0,00";"97,56";"1,63";"12,35";"8,72";"31,36";"6,02";"38,69";"1,24";;;;;
41;793;793;"73,17";"1,85";"60,47";"39,53";"0,00";"98,15";"1,62";"12,62";"9,39";"28,79";"5,94";"40,13";"1,12";"0,39";;;;
